Time,Source,Destination,Protocol,Length,Info
5.441881,10.10.10.23,10.10.10.22,BitTorrent,122,'[TCP ACKed unseen segment] Request, Piece (Idx:0x10d,Begin:0x0,Len:0x4000)  Request, Piece (Idx:0x10d,Begin:0x4000,Len:0x4000)  Request, Piece (Idx:0x10d,Begin:0x8000,Len:0x4000)  Request, Piece (Idx:0x10d,Begin:0xc000,Len:0x4000)  '
5.577106,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
5.599774,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
5.621858,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
5.621971,10.10.10.23,10.10.10.22,BitTorrent,122,'[TCP ACKed unseen segment] Request, Piece (Idx:0xe5,Begin:0x0,Len:0x4000)  Request, Piece (Idx:0xe5,Begin:0x4000,Len:0x4000)  Request, Piece (Idx:0xe5,Begin:0x8000,Len:0x4000)  Request, Piece (Idx:0xe5,Begin:0xc000,Len:0x4000)  '
6.005782,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
6.049843,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
6.29419,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
7.019833,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
7.058605,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
7.083048,10.10.10.23,10.10.10.22,BitTorrent,167,'[TCP ACKed unseen segment] Have, Piece (Idx:0x156)  Have, Piece (Idx:0xf)  Have, Piece (Idx:0x37)  Have, Piece (Idx:0x140)  Have, Piece (Idx:0x157)  Request, Piece (Idx:0x106,Begin:0x0,Len:0x4000)  Request, Piece (Idx:0x106,Begin:0x4000,Len:0x4000)  Request, Piece (Idx:0x106,Begin:0x8000,Len:0x4000)  Request, Piece (Idx:0x106,Begin:0xc000,Len:0x4000)  '
7.107354,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
7.139906,10.10.10.23,10.10.10.22,BitTorrent,199,'[TCP ACKed unseen segment] Have, Piece (Idx:0x36)  Request, Piece (Idx:0x178,Begin:0x0,Len:0x4000)  Request, Piece (Idx:0x178,Begin:0x4000,Len:0x4000)  Request, Piece (Idx:0x178,Begin:0x8000,Len:0x4000)  Request, Piece (Idx:0x178,Begin:0xc000,Len:0x4000)  Request, Piece (Idx:0xec,Begin:0x0,Len:0x4000)  Request, Piece (Idx:0xec,Begin:0x4000,Len:0x4000)  Request, Piece (Idx:0xec,Begin:0x8000,Len:0x4000)  Request, Piece (Idx:0xec,Begin:0xc000,Len:0x4000)  '
7.595968,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
7.612353,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
7.655742,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Port  '
8.444258,10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP ACKed unseen segment] [TCP Previous segment not captured] Continuation data  '
