192.168.184.131	37.130.224.90	1	54	40	32824,80
192.168.184.131	37.130.224.90	2	54	40	32824,80
192.168.184.131	37.130.224.90	3	54	40	32824,80
192.168.184.131	37.130.224.90	4	54	40	32824,80
192.168.184.131	37.130.224.90	5	54	40	32824,80
192.168.184.131	37.130.224.90	6	54	40	32824,80
192.168.184.131	37.130.224.90	7	54	40	32824,80
192.168.184.131	37.130.224.90	8	54	40	32824,80
192.168.184.131	37.130.224.90	9	54	40	32824,80
192.168.184.131	37.130.224.90	10	54	40	32824,80
192.168.184.131	37.130.224.90	11	54	40	32824,80
192.168.184.131	37.130.224.90	12	54	40	32824,80
192.168.184.131	37.130.224.90	13	54	40	32824,80
192.168.184.131	192.168.184.2	14	86	72	
192.168.184.131	192.168.184.2	15	86	72	
192.168.184.131	37.130.224.90	16	54	40	32824,80
192.168.184.131	192.168.184.2	17	76	62	
192.168.184.131	192.168.184.2	18	87	73	
192.168.184.131	192.168.184.2	19	81	67	
192.168.184.131	37.130.224.90	20	54	40	32824,80
192.168.184.131	37.130.224.90	21	54	40	32824,80
192.168.184.131	37.130.224.90	22	54	40	32824,80
192.168.184.131	192.168.184.2	23	89	75	
192.168.184.131	37.130.224.90	24	54	40	32824,80
192.168.184.131	37.130.224.90	25	54	40	32824,80
192.168.184.131	37.130.224.90	26	54	40	32824,80
192.168.184.131	37.130.224.90	27	54	40	32824,80
192.168.184.131	37.130.224.90	28	54	40	32824,80
192.168.184.131	37.130.224.90	29	54	40	32824,80
192.168.184.131	192.168.184.2	30	77	63	
192.168.184.131	192.168.184.2	31	75	61	
192.168.184.131	192.168.184.2	32	81	67	
192.168.184.131	192.168.184.2	33	77	63	
192.168.184.131	192.168.184.2	34	77	63	
192.168.184.131	192.168.184.2	35	88	74	
192.168.184.131	192.168.184.2	36	78	64	
192.168.184.131	104.16.34.249	37	74	60	55862,80
192.168.184.131	104.16.34.249	38	74	60	55864,80
192.168.184.131	104.16.34.249	39	74	60	55866,80
192.168.184.131	104.16.34.249	40	74	60	55868,80
192.168.184.131	192.168.184.2	41	77	63	
192.168.184.131	104.16.104.204	42	74	60	55158,80
192.168.184.131	104.16.104.204	43	74	60	55160,80
192.168.184.131	104.16.104.204	44	74	60	55162,80
192.168.184.131	192.168.184.2	45	85	71	
192.168.184.131	198.252.206.17	46	74	60	44992,80
192.168.184.131	198.252.206.17	47	74	60	44994,80
192.168.184.131	198.252.206.17	48	74	60	44996,80
192.168.184.131	192.168.184.2	49	76	62	
192.168.184.131	54.225.171.35	50	74	60	41514,80
192.168.184.131	54.225.171.35	51	74	60	41516,80
192.168.184.131	54.225.171.35	52	74	60	41518,80
192.168.184.131	104.16.13.8	53	74	60	57178,80
192.168.184.131	104.16.34.249	54	54	40	55866,80
192.168.184.131	104.16.34.249	55	54	40	55868,80
192.168.184.131	104.16.34.249	56	54	40	55862,80
192.168.184.131	2.20.255.31	57	74	60	40020,443
192.168.184.131	104.16.34.249	58	815	801	55866,80
192.168.184.131	104.16.13.8	59	54	40	57178,80
192.168.184.131	104.16.13.8	60	54	40	57182,80
192.168.184.131	104.16.13.8	61	54	40	57184,80
192.168.184.131	104.16.13.8	62	54	40	57180,80
192.168.184.131	31.13.79.246	63	74	60	50816,443
192.168.184.131	104.16.110.18	64	74	60	34792,443
192.168.184.131	216.58.197.33	65	74	60	58794,443
192.168.184.131	68.232.44.121	66	74	60	34882,443
192.168.184.131	68.232.44.121	67	74	60	34884,443
192.168.184.131	68.232.44.121	68	74	60	34886,443
192.168.184.131	68.232.44.121	69	74	60	34888,443
192.168.184.131	68.232.44.121	70	74	60	34890,443
192.168.184.131	68.232.44.121	71	74	60	34892,443
192.168.184.131	216.58.197.33	72	54	40	58794,443
192.168.184.131	104.16.110.18	73	54	40	34792,443
192.168.184.131	216.58.197.33	74	279	265	58794,443
192.168.184.131	104.16.110.18	75	571	557	34792,443
192.168.184.131	216.58.197.33	76	54	40	58794,443
192.168.184.131	216.58.197.33	77	345	331	58794,443
192.168.184.131	104.16.110.18	78	54	40	34792,443
192.168.184.131	31.13.79.246	79	54	40	50816,443
192.168.184.131	104.16.110.18	80	105	91	34792,443
192.168.184.131	31.13.79.246	81	571	557	50816,443
192.168.184.131	68.232.44.121	82	54	40	34886,443
192.168.184.131	68.232.44.121	83	54	40	34882,443
192.168.184.131	68.232.44.121	84	54	40	34890,443
192.168.184.131	68.232.44.121	85	571	557	34886,443
192.168.184.131	68.232.44.121	86	571	557	34890,443
192.168.184.131	68.232.44.121	87	571	557	34884,443
192.168.184.131	68.232.44.121	88	54	40	34888,443
192.168.184.131	68.232.44.121	89	54	40	34892,443
192.168.184.131	68.232.44.121	90	571	557	34888,443
192.168.184.131	68.232.44.121	91	571	557	34892,443
192.168.184.131	31.13.79.246	92	54	40	50816,443
192.168.184.131	31.13.79.246	93	105	91	50816,443
192.168.184.131	216.58.197.33	94	54	40	58794,443
192.168.184.131	104.16.110.18	95	54	40	34792,443
192.168.184.131	2.20.255.31	96	74	60	40040,443
